# their_thing	status	why / where it would go
# "Theirs" here is scikit-learn 1.9.0 (77def0e), the SEMANTICS reference. There is no cuML, cuVS or RAFT Gaussian process at any pinned commit -- so nothing in this file is a RAPIDS gap.
sklearn GaussianProcessRegressor.predict(return_cov=True) (_gpr.py:495-506)	NOT IMPLEMENTED	The same object: an `n_star x n_star` matrix where this lane returns its diagonal. It is `k(X*, X*) - V^T V`, so it is one more kernel-matrix evaluation and one more GEMM at `OP_TN`; the work is small and the reason it is not here is that nothing in rung 1 consumes it. `sample_y` (DEVIATION 2793) builds the same matrix inside its own call and factors it; it does not return it
sklearn Matern, the general nu (kernels.py:1733-1739)	NOT IMPLEMENTED -- REFUSED BY NAME	DEVIATION 1765. `2^(1-nu)/gamma(nu) * (sqrt(2 nu) d)^nu * kv(nu, sqrt(2 nu) d)`, where `kv` is a modified Bessel function of the second kind of REAL order. There is no `kv` in this repository, none in MAX, and no device implementation on any of the three vendors; implementing it means certifying a NEW transcendental under IDENTITY_PATHS row 12 before one cell of it could be trusted. `gp_kernel_matern` refuses it with that closure condition in the message
sklearn Matern, nu = inf (kernels.py:1731)	NOT IMPLEMENTED -- REFUSED BY NAME	It is exactly the RBF, and sklearn implements it as such. Refused rather than aliased so that a caller who wants it says RBF and gets the kernel whose gates it actually ran (CONTRIBUTING.md (Non-default paths): a non-default path is an unchecked path)
sklearn DotProduct (kernels.py:2102)	NOT IMPLEMENTED	`sigma_0^2 + x . y`. It is the one supported-family kernel with a COORDINATE-DEPENDENT diagonal, so implementing it turns `gp_kernel_diag` from a scalar into a vector and changes the `gp.kss` card stage from a scalar into an array (DEVIATION 1770 says so). It is also non-stationary, so it does not go through the distance path at all
sklearn RationalQuadratic (kernels.py:1801)	NOT IMPLEMENTED	`(1 + d^2/(2 alpha l^2))^-alpha`. One new transcendental seam, `identical_pow` at a data-dependent exponent, which `checks/numerics.mojo` already carries (row 12) -- so this is the cheapest of the unimplemented kernels and the obvious rung-2 first move
sklearn ExpSineSquared (kernels.py:1957)	NOT IMPLEMENTED	`exp(-2 (sin(pi d / p) / l)^2)`. Needs `identical_sin` (row 12, DEVIATION 820) at an argument that grows with the data, where the Cephes range reduction is exactly where a sin implementation diverges between vendors. A real implementation, not a hard one, but its numerics need their own gate
sklearn Exponentiation, PairwiseKernel, CompoundKernel (kernels.py)	NOT IMPLEMENTED	`Exponentiation` is `k^p` and needs `identical_pow` per cell; `PairwiseKernel` dispatches into `sklearn.metrics.pairwise`, a table of metrics this lane has no opinion about; `CompoundKernel` is the multi-output construction and is blocked behind DEVIATION 1763. All three are refused by name in `gp_kernel_from_name`
sklearn multi-output y, shape (n_samples, n_targets) (_gpr.py:596-617)	NOT IMPLEMENTED	DEVIATION 1763. Their marginal likelihood sums per-target terms through `einsum("ik,ik->k", ...)`, which needs a multi-column `cho_solve` (the Cholesky lane's `cho_solve` already takes `nrhs`, so that half is free) and a per-target dot. Refused by name in `gp_validate_targets` rather than silently reading the first column
sklearn GaussianProcessClassifier's hyperparameter optimizer (_gpc.py) and its Laplace gradient	NOT IMPLEMENTED -- REFUSED BY NAME	DEVIATION 1761, now for the classifier only. GaussianProcessRegressor(optimizer='fmin_l_bfgs_b') is implemented (DEVIATIONS 2880, 2881): the regressor's gradient is 0.5 trace((alpha alpha^T - K^-1) dK), while the classifier's is Rasmussen and Williams Algorithm 5.1 (the implicit derivative through the Newton mode, s2 and the third derivative of the logistic likelihood), a separate fold with its own pins. The kernel gradients and the optimizer it would reuse exist
sparse / inducing-point / variational GPs (not in scikit-learn)	NOT IMPLEMENTED -- OUT OF SCOPE FOR RUNG 1	The scope is EXACT DENSE regression. An inducing-point method changes the linear algebra entirely (a Nystrom factorization of an m x m matrix and a low-rank update), so it is a different lane and not a flag on this one. Named here so the absence is visible rather than assumed
a Contractions-style tile for the kernel matrix	NOT IMPLEMENTED -- A SPEED IDEA WITH NO MEASUREMENT	`gp_scaled_sqdist` reads d floats of X and d of Y per output cell with no reuse. RAFT's `pairwise_distance_base.cuh` Policy4x4 tile is the shape that fixes it and `dbscan/impl/neighbors/epsilon_neighborhood.mojo` already implements one. It would introduce a staging shape to pin and the tile has never been measured against the present loop, so it is named rather than attempted. See gaussian_process/README.md's WHAT THIS WILL COST
a DIST_L2_SQ_UNEXPANDED metric value in kde/impl/distance/distance_ops.mojo	NOT DONE -- ANOTHER LANE'S FILE	DEVIATION 1754. That file's `pairwise_unexpanded_kernel` applies cuVS's `L2SqrtUnexpanded` epilog unconditionally, and an RBF needs the SQUARED distance with no root. This lane imports the per-feature step (`l2_unexp_core`) and writes its own loop; the right merge is one more metric value there and a deletion here. `gaussian_process/` may not edit `kde/`, so it is named
