cuml dbscan/runner.cuh core_indices	NOT PORTED, AND IT IS ON THEIR DEFAULT PATH	thrust::copy_if stream compaction of the core mask into an index list, padded with -1 (runner.cuh:419-442). CORRECTION 2026-08-19: this row used to say 'nullptr in every cuML default path' and that is FALSE. DBSCAN(calc_core_sample_indices=True) is the Python DEFAULT (dbscan.pyx:304) and allocates the buffer at :382, so cuML computes core_sample_indices_ on every default fit. It is an extra OUTPUT and does not change labels, which is why it is still deferred
cuml dbscan/corepoints/exchange.cuh	out of scope	multi-GPU allgather of the core mask
cuml dbscan/mergelabels/tree_reduction.cuh	out of scope	multi-GPU; it is comm.isend/irecv over a binary tree of ranks and calls the same MergeLabels::run we ported on the receiving side
cuml dbscan/vertexdeg/algo.cuh sample_weight	PORTED 2026-09-01	BOTH arms. The dense coalescedReduction (algo.cuh:243-254) is `weighted_vertex_deg_dense_kernel` and accumulateWeights over the CSR (algo.cuh:62-91) is `weighted_vertex_deg_csr_kernel`; `need_ja_compute` (runner.cuh:257) is ported so loop 1 fills `ja` on every weighted RBC batch (DEVIATION 29). Both of their reducers close on a lane-width-shaped CUB stage and are REPLACED by `pinned_block_sum` at the matrix's K_LIB_WEIGHTED_VERTEX_DEG width (DEVIATION 28). Their `if (weight_sum > 0)` guard at :90 is deliberately not copied; ours writes every row. Reaches the public API as DBSCAN(sample_weight=). GATED 2026-09-01 ON APPLE, and UNGATED from the day it landed until that morning: all four weighted checks were written and NONE had ever compiled -- `DeadArgumentElimination surveyUse failed`, an LLVM pass assertion, took the whole dbscan build down. The cure is the OPTIMIZATION LEVEL, not the source: `check-dbscan` builds at -O1, where -O3 and -O2 both assert and -O1 and -O0 both build, DeadArgumentElimination being an -O2-and-above pass. Four candidate source rewrites were tried first and all four still asserted at -O3. `pixi run check-dbscan` now prints all seven OK lines. A THREE-VENDOR LEG IS OWED; nothing weighted has run on an H100 or an MI325X
cuml dbscan/dbscan.cuh CosineExpanded	not ported	row-normalize x in place, eps2 = 2*eps, same neighborhood kernel, un-normalize. Two matrixVectorOp passes over the dataset. Reaches the public API as DBSCAN(metric='cosine')
mojolearn L1 on the ball cover	OURS, not built	The L1 eps neighborhood (DEVIATION 27) is BRUTE FORCE only. `neighbors/impl/neighbors/ball_cover/common.mojo::eps_dist_sq` and the three landmark bounds at registers.mojo:280,:422,:547 compute Euclidean distance, so the index cannot answer an L1 query. NOT a property of the algorithm: ball-cover pruning rests on the triangle inequality, which L1 satisfies. Owed to the neighbors lane; until then DBSCAN(metric='manhattan') refuses algorithm='rbc' by name and names 'brute'
cuml dbscan/vertexdeg/precomputed.cuh	not ported	metric == Precomputed, algo_vd == 2, x is an N x N distance matrix
cuml dbscan/dbscan.cuh metric switch	partial	L2SqrtExpanded/L2SqrtUnexpanded ported; the Precomputed and Cosine branches of dbscanFitImpl go with the rows above. An L1 arm that has NO upstream counterpart was added 2026-09-01 (DEVIATION 27); it is original work and credits only RAFT's per-pair l1.cuh:49
raft adj_to_csr atomicIncWarp	not ported	cg::coalesced_threads() has no Mojo counterpart; their comment prices it at up to 32x the atomic traffic. Deviation 34
raft contractions.cuh double buffering	not ported	two smem pages at Policy4x4 is 32 KB, exactly Metal's threadgroup ceiling. Same gap core/gemm.mojo records
raft contractions.cuh Veclen loads	not ported	their float path loads 4 floats per LDG; ours loads one. Veclen still sets SmemStride, so the bank-conflict padding is theirs
