# what of theirs	status	why, and where it would go
cuvs neighbors/detail/reachability.cuh::mutual_reachability_graph (:190-256) and mutual_reachability_knn_l2 (:151-188); the symmetrize + sorted_coo_to_csr COO the first builds	NOT PORTED, REFUSED BY NAME, DEVIATION 1600	TWO walls. (a) A symmetrized min_samples-nearest-neighbour graph is DISCONNECTED whenever the data has more than one well-separated cluster, so build_sorted_mst returns a forest and enters its fix-up loop, which needs connect_knn_graph / cross_component_nn / merge_msts -- all three recorded NOT PORTED in hierarchy/DERIVATION_MAP.tsv and raising by name in hierarchy/impl/cluster/detail/mst.mojo. (b) mutual_reachability_knn_l2 needs tiled_brute_force_knn's DistanceEpilogue template, which neighbors/impl/neighbors/detail/knn_brute_force.mojo does not carry; and the epilogue is not optional, because max(core[col], max(core[row], alpha*d)) is not monotone in d alone. Rung 2 = the hierarchy lane ports the cross-component fix-up (pinning the host overload's std::mt19937 vertex choice, mst.cuh:167-190) and the neighbors lane threads an epilogue through the tiled arm. The dense arm (DEVIATION 1600) is what ships until then
cuvs sparse/neighbors MutualReachabilityFixConnectivitiesRedOp (used at single_linkage.cuh:85-86)	NOT PORTED	an argument of build_sorted_mst's FIX-UP LOOP only. On the complete graph Boruvka returns one component on the first call and the loop body is never entered, so nothing reaches it. Rung 2 ports it beside connect_knn_graph
cuml hdbscan/detail/soft_clustering.cuh (all of it), prediction_data.cu, detail/predict.cuh	NOT PORTED (deferred)	soft/fuzzy membership and approximate_predict. They need Utils::normalize and Utils::softmax (utils.h:172-220, a rowNorm + a matrixVectorOp + exp), the PredictionData structure, and a second k-NN against the fitted core distances. Nothing in a fit reaches them. Deferring them was the lane brief's instruction; the identity work they would need is row 12's (a device exp) and one more segmented fold
cuml hdbscan/detail/membership.cuh::get_probabilities (:39-98) + kernels/membership.cuh::probabilities_functor	NOT PORTED (deferred), DEVIATION 1610	extract.cuh:311 calls it and this port does not; `probabilities_` is refused BY NAME at hdbscan/estimator.mojo::hdbscan_probabilities_host rather than returned as zeros. It is a CUB DeviceSegmentedReduce::Max over the SAME condensed-tree parent CSR compute_stabilities already builds (deaths[c]) plus min(child_lambda, death)/death per point. Closing it is DEVIATION 1604's fold with the comparison reversed, in hdbscan/impl/hdbscan/detail/stabilities.mojo, plus a per-edge epilogue. Small; deferred for scope, not difficulty
cuml hdbscan/detail/select.cuh::cluster_epsilon_search (:301-363) + kernels/select.cuh::cluster_epsilon_search_kernel (:47-104); the parameter cluster_selection_epsilon	NOT PORTED, REFUSED BY NAME	it re-sorts the cluster tree's parents and lambdas BY CHILD in place (:328-329) and then walks each selected cluster toward the root in a do/while whose index arithmetic depends on that re-sort (the `child = child_idx + 1` root offset). Upstream's own comment at select.cuh:418-419 records a CONFIRMED reference-implementation bug in the neighbouring LEAF branch (scikit-learn-contrib/hdbscan#476) that is commented out rather than fixed, so porting this means DECIDING which of two behaviors is the algorithm. That is a question for a reading of their tree, not for this rung. Their default is 0.0 (hdbscan.hpp:136), which is what ships
cuml hdbscan Common::GRAPH_BUILD_ALGO::NN_DESCENT and graph_build_params (hdbscan.hpp:141-190); cuvs 26.08 neighbors::all_neighbors::build	NOT PORTED, REFUSED BY NAME	runner.h:90-110 fills nn_descent_params and hands them to the all-neighbors builder, which partitions the data into overlapping clusters and merges local approximate k-NN graphs. It is not in the pinned cuVS checkout (94c2819) at all, its output is APPROXIMATE, and an approximate graph's answer is not a function of the input alone. Rung 2+ = the neighbors lane ports nn_descent and pins its initialization. BRUTE_FORCE_KNN (their default, hdbscan.hpp:198) is what ships
cuml hdbscan Common::CondensedHierarchy's (n_edges, ptrs...) constructor (condensed_hierarchy.cu:63-102)	NOT PORTED	the CPU/GPU-interop constructor, for a caller handing in a condensed tree it built elsewhere. No fit reaches it; condense() is the path
cuml hdbscan detail/extract.cuh::_compute_inverse_label_map (:172-221)	NOT PORTED	the CPU/GPU-interop half of extract_clusters: the same stabilities + selection + inverse map with the labelling left out. Every line of it is in extract_clusters, which IS ported; a caller wanting only the map would call that and read one field
cuml hdbscan detail/utils.h::normalize (:172-189) and softmax (:191-220)	NOT PORTED	reached only by soft_clustering. softmax also carries a device exp, which is IDENTITY_PATHS row 12's class and would need identical_exp at every seam
metrics other than L2SqrtExpanded (1)	REFUSED BY NAME	their own RAFT_EXPECTS refuses everything else at reachability.cuh:109 ("Currently only L2 expanded distance is supported"), so this is THEIR restriction and not this port's. The dense graph reads hierarchy's distance step, which additionally accepts L2Expanded (0); it is refused here because the core distances would then be squared and the mutual reachability would not be a distance
n_rows > 46340 (the dense mutual reachability graph)	REFUSED BY NAME	inherited from hierarchy/impl/cluster/detail/connectivities.mojo's PAIRWISE bound: their value_idx overflows on m * m. It is a HARDER bound here than in hierarchy, because the sparse arm they would use above it is DEVIATION 1600's refused half. Rung 2 removes it
a NaN or infinite core distance, mutual reachability cell, dendrogram delta or condensed lambda	REFUSED BY NAME, DEVIATION 1607	theirs propagates it: their probabilities_functor even tests isnan(child_lambda) explicitly (kernels/membership.cuh:44), so upstream knows it gets that far. A computed NaN carries the VENDOR'S payload (IDENTITY_PATHS row 39: Apple 0x7fc00000, NVIDIA 0x7fffffff, AMD 0xffc00000) and every one of those arrays is a recorded card stage. hdbscan/checks/mutual_reachability_dense.mojo has the block and the guards; hierarchy's DEVIATION 623 already covers the distance matrix
allow_single_cluster = true	PORTED, LIGHTLY GATED	it is honored end to end (select.cuh:191 sets is_cluster[0], :206 moves tree_top, extract.cuh:143-160 takes the root branch), and the fixtures here all run it FALSE, which is their default (hdbscan.hpp:138). The root branch of do_labelling_on_host is therefore UNREACHED by the suite -- PORTING_RULES rule 8's exact shape. A named check per side is owed and is in the README's WHAT IS OWED
max_cluster_size	PORTED, UNGATED	honored (select.cuh:225's `cluster_sizes_h[node] > max_cluster_size` and extract.cuh:266's `<= 0 -> n_leaves` negation) and set to 0 by every fixture. A second unexercised switch side; the README owes it a check
Int32 node ids only (their value_idx is int64_t in runner.h's default template argument, int in cuvs')	PORTED AT Int32 ONLY	cuML instantiates _fit_hdbscan<int64_t> but every array this lane touches is bounded by 2 * n_rows and n_rows <= 46340, so Int32 is the honest width and the bound above is what enforces it
