# upstream_item	status	why / where it would go
cuml svm_parameter.h SvmType EPSILON_SVR (svmType), epsilon; smosolver.cuh SvrInit, the n_train = 2*n_rows doubling, UpdateF's second gemv, results.cuh CombineCoefs' add arm, kernelcache.cuh GetVecIndices / ws_idx_mod_svr, svr_impl.cuh	PORTED AND GATED 2026-08-31 (44 of 44, `fea6becc`); PYTHON SURFACE LANDED 2026-09-01 (`mojolearn.SVR`)	All six pieces are in: the scope check admits EPSILON_SVR (NU_SVC/NU_SVR still raise, which is upstream's own boundary), n_train doubles in SmoSolver and Results, SvrInit writes f = +-epsilon - y and the +-1 label vector, UpdateF runs a second gemv on f + n_rows, CombineCoefs folds the two alpha halves, and KernelCache carries ws_idx_mod_svr with GetVecIndices' ws_idx % n_rows. mapColumnIndicesToSVRSpace is NOT owed: it sits inside `if (batch_cache.GetSize() > 0)` and this lane takes the cache_size == 0 path, so it is dead code here rather than an omission; it comes back only with the LRU. TWO MOJO-SHAPED DEPARTURES, both deliberate: upstream's `Initialize(math_t** y)` repoints the CALLER's pointer at y_label, which Mojo cannot spell, so the labels are a solver field `y_train` present in BOTH problem types; and `getKernelIndices(allow_svr)` returns one of two buffers, so both are allocated always and kept equal for C_SVC. IT NO LONGER RAISES. The refusal came out on 2026-08-31 (`fea6becc`, 44 of 44 gates with the device arm included) and what removed it is in svm/checks/: smo_oracle.mojo's SVR arm (2n init, the coef fold); six regression fixtures in svc_check.mojo with the sabotages re-fired against them and the arms that are inert on regression data named inert; check_svr_fold_order, which measured fold_order_for's tie rule and found the DOCSTRING wrong and the code right (R1 holds 400 domain points over 200 rows, every one twice, and the key (index << 32) | position is still a total order); check_svr_signed_zero, which reaches both signed zeros in f from ORDINARY input at fixture R6's epsilon = 0, every -0.0 in the second half because (-epsilon) - y is the only line of SvrInit that produces one; and property gates written from the FORMULATION rather than from this solver (the eps-insensitive dual W, the KKT gap, the eps-tube bound), whose independence is measured, not asserted, since the gradient recomputed from alpha alone matches the solver's own f to 1.5e-07. THE PYTHON SURFACE LANDED 2026-09-01: svr_fit / svr_predict in svm/impl/svm/svr_impl.mojo, svr_fit_host / svr_predict_host in svm/estimator.mojo, the svr_fit / svr_predict bindings, and mojolearn.SVR, gated at the boundary by python/mojolearn/tests/test_svr_surface.py. This cell read 'what is still missing is the Python surface only' until then.
cuml svm_parameter.h NU_SVC, NU_SVR	NOT PORTED, unported upstream too (`THROW("SMO initialization not implemented SvmType=%d")`)	raised by name with the same sentence
cuml svm_parameter.h cache_size > 0; kernelcache.cuh BatchCache; raft/util/cache.cuh Cache (32-way set-associative LRU: get_cache_idx, assign_cache_idx + rank_set_entries (cub::BlockRadixSort over time stamps), get_vecs, store_vecs), PreparePartitionedIdxOrder, GetCacheIdxPartitionedStable, AssignAndStoreVecs	NOT PORTED; the cache_size == 0 path IS (n_cache_sets = 0, every `if (batch_cache.GetSize() > 0)` skipped)	cache_size != 0 raises by name. DETERMINISM STATEMENT (README "the cache decision"): eviction and the working-set permutation are pure functions of the ws sequence, cache_size and n_rows (counters, `key % n_cache_sets`, stable sorts; no block count, no clock); under DEVIATIONS 633-634 neither can reach a bit, so the port is bit-inert when it lands. It goes in kernelcache.mojo beside init_working_set / init_full_tile_batching / get_next_batch_kernel, with a gate asserting cache_size 0 vs 200 give the same bytes. Predict's `buffer_size` (their `param.cache_size` at the SVC::predict call site) is a separate, honored parameter here
cuml svm_parameter.h verbosity; CUML_LOG_DEBUG/ERROR lines in smosolver, workingset	ACCEPTED, NO EFFECT	it selects log lines; none are printed. The counters behind the "not converging monotonically" message (n_increased_diff, report_increased_diff) are transcribed
cuml svm_parameter.h max_outer_iter, max_iter, nochange_steps, tol, C	PORTED	max_outer_iter = -1 -> max(100000, 100*n_train); max_iter caps the inner total through max_iter_this_block; nochange_steps's n_small_diff rule and the NaN throw transcribed (smosolver.mojo::check_stopping_condition)
cuml kernel_params.hpp KernelType POLYNOMIAL (degree, gain, offset); cuvs PolynomialKernel::applyKernel `pow(gain * x + offset, exponent)`	NOT PORTED	raised by name. One `identical_pow` away (checks/numerics.mojo has it): `out = ftz(identical_pow(ftz(fma(gain, dot, offset)), Float32(degree)))` beside rbf_kernel_expanded_kernel; left unported rather than written without a gate
cuml kernel_params.hpp KernelType TANH (gain, offset); cuvs TanhKernel `tanh(gain * x + offset)`	NOT PORTED	raised by name; there is no identical_tanh in numerics.mojo (hand-off item if wanted)
cuml kernel_params.hpp KernelType PRECOMPUTED; kernelcache.cuh extractColumnsForPrecomputed; svc_impl.cuh precomputed predict arm	NOT PORTED	raised by name
cuvs RBFKernel: `-1.0 * gain * (...)` double promotion for math_t = float	NOT MIRRORED, DEVIATION 630	no float64 on the Apple GPU; float32 through identical_exp. Measured in svc_check (check_rbf_float_vs_double_reference): 57,600 cells of F2, max 1 ulp from their double-exp spelling rounded to float
raft linalg rowNorm<L2Norm> (block fold) for matrixRowNormL2	MIRRORED BY A PER-ROW SERIAL CHAIN	row_norm_l2sq_kernel, one thread per row, ascending; no fold shape to pin
cuBLAS gemv in UpdateF and computeBatchDecisionFunction	REPLACED (closed library), DEVIATION 634	hand GEMV kernels with the fold pinned to ascending training index / ascending support index; MAX's gemv is not called because the fold order is the point
cub::DeviceReduce::Sum in CalcB	REPLACED, DEVIATION 632	serial_sum_f32_kernel (one thread, ascending, flushed)
cub::BlockReduce<KVPair> val-only comparison in SmoBlockSolve	REPLACED, DEVIATION 633	pinned_argreduce.mojo: ties to the smaller training index
workingset.h FIFO_strategy = false: PrioritySelect, SelectPrevWs, update_priority, ws_priority / ws_priority_sorted / ws_idx_sorted / ws_idx_selected	NOT PORTED	"only FIFO is tested so far" (workingset.h:36); nothing dispatches to it. Would go in workingset.mojo beside select_ws
sample_weight; smosolver.cuh InitPenalty weighted arm (C_vec = C * w)	NOT PORTED	raised by name; C_vec is filled with C. (class_weight in the python layer becomes sample_weight upstream and is refused with it)
svcFitSparse / svcPredictSparse; kernelcache.cuh sparse_extract, x_ws_csr, host_indptr, indptr_batched, getMatrixBatch CSR; sparse_util.cuh; results.cuh sparse support matrix	NOT PORTED	dense row-major only
multiclass (ovr in the python layer); raft::label::getUniquelabels device sort	NOT PORTED / HOST	their ASSERT(n_classes == 2) kept as a raise; unique labels found by a host sort (tiny)
probability (python layer, Platt scaling)	NOT PORTED	not in the C++ surface at all
svmFreeBuffers	NOT NEEDED	host lists
raft::cache debug printing; print_device_vector debug blocks	NOT PORTED	debug logging only
