lane,why_not_in_appendix
bpe-vocabulary,added after publication
gbdt-bfa-quantile,added after publication
gbdt-binary-columns,added after publication
gbdt-border-types,added after publication
gbdt-catboost-defaults,added after publication
gbdt-multiclass-defaults,added after publication
gbdt-ordered,added after publication
gbdt-ordered-bayesian-noise,added after publication
gbdt-ranking-defaults,added after publication
gbdt-stochastic-arms,added after publication
gbdt-symmetric-eval,added after publication
gemm-bf16,low-bit GEMM profile, added after publication
gemm-int8,low-bit GEMM profile, added after publication
gp-optimize,added after publication
gp-optimize-restarts,added after publication
grad-accumulation,added after publication
hf-causal-lm,added after publication
hf-checkpoint,added after publication
hf-tokenizer,added after publication
kernel-ridge-laplacian,kernel variant of a lane the appendix already maps
kernel-ridge-poly,kernel variant of a lane the appendix already maps
kernel-ridge-sigmoid,kernel variant of a lane the appendix already maps
language-model-config,configuration object, not an algorithm
linalg-eigh,decomposition exposed under its own name, 2026-09-19
linalg-qr,decomposition exposed under its own name, 2026-09-19
linalg-svdvals,decomposition exposed under its own name, 2026-09-19
linear-svc,added after publication
linear-svc-squared-hinge,added after publication
linear-svr,added after publication
linear-svr-squared,added after publication
lowbit-conversions,added after publication
mamba1-bf16w,weight-format variant of a lane the appendix already maps
mamba1-decode-session,added after publication
mamba1-int8w,weight-format variant of a lane the appendix already maps
mamba2-bf16w,weight-format variant of a lane the appendix already maps
mamba2-int8w,weight-format variant of a lane the appendix already maps
mamba3-bf16w,weight-format variant of a lane the appendix already maps
mamba3-int8w,weight-format variant of a lane the appendix already maps
metrics-homogeneity-completeness,added after publication
mlp-bf16w,weight-format variant of a lane the appendix already maps
mlp-int8w,weight-format variant of a lane the appendix already maps
nystroem-laplacian,kernel variant of a lane the appendix already maps
nystroem-poly,kernel variant of a lane the appendix already maps
nystroem-sigmoid,kernel variant of a lane the appendix already maps
ordered-gradient-sum,added after publication
par-border-types,multi-device driver lane
par-causal-lm,multi-device driver lane
par-cross-val,multi-device driver lane
par-forecast-arima,multi-device driver lane
par-forecast-holtwinters,multi-device driver lane
par-gpc-fit,multi-device driver lane
par-gpc-predict,multi-device driver lane
par-ivf,multi-device driver lane
par-ordered,multi-device driver lane
qn-absolute,added after publication
qn-squared,added after publication
samba-bf16w,weight-format variant of a lane the appendix already maps
samba-int8w,weight-format variant of a lane the appendix already maps
saved-model-host-infer,added after publication
spectral-embedding,added after publication
tokenized-corpus,added after publication
transformer-bf16w,weight-format variant of a lane the appendix already maps
transformer-decode-session,added after publication
transformer-int8w,weight-format variant of a lane the appendix already maps
