# our_file	upstream_file	status	notes
# cuML pinned at v26.08.00 = 265b9da (upstream/cuml-v26.08.00), RAFT at v26.08.00 = ebf9268 (upstream/raft-v26.08.00). Checked out 2026-08-23; every port in this directory was written from those files, not from memory.
ported/solver/cd.mojo	cuml cpp/src/solver/cd.cuh	partial	cdFit line for line (cd.cuh:115-274: guards, preProcessData, l1_alpha/l2_alpha, colNorm + addScalar, the five-operation coordinate step with DEVICE-pointer alphas, one host read per epoch, coefMax/diffMax stopping rule, postProcessData), cdUpdateCoefKernel (:51-68) transcribed, cdPredict (:293-307). sample_weight arms (:136-163, :240-251), shuffle=true and loss != SQRD_LOSS REFUSED BY NAME. DEVIATION 610 (the identity construction) and the per-epoch card live here
ported/solver/shuffle.mojo	cuml cpp/src/solver/shuffle.h	partial	initShuffle (the identity permutation). shuffle (std::shuffle over std::mt19937(0)) NOT ported: the algorithm is unspecified by the standard; DEVIATION 611 reserved for an exact port, not spent
ported/solvers/params.mojo	cuml cpp/include/cuml/solvers/params.hpp	transliterated	lr_type, loss_funct, penalty
../glm/ported/glm/preprocess.mojo (moved 2026-08-23)	cuml cpp/src/glm/preprocess.cuh	partial	preProcessData / postProcessData, unweighted arms, IN PLACE as theirs (the un-centering is not bitwise the original). HAND-OFF: belongs under glm/ported/glm/ (glm/UNPORTED.tsv lists it NOT PORTED); the 26.08 file has no normalize arm
ported/functions/linear_reg.mojo	cuml cpp/src_prims/functions/linearReg.cuh	partial	linearRegH only (cuBLAS gemm: IDENTICAL = gemm.fp32.v1 OP_TN, FAST = device transpose + gemv_gpu; addScalar one thread per row). linearRegLossGrads and penalty.cuh are the SGD solver's
ported/linalg/coalesced_reduction.mojo	raft cpp/include/raft/linalg/detail/coalesced_reduction-inl.cuh	partial	coalescedSumMediumKernel<256> (-inl.cuh:288-322) with KahanBabushkaNeumaierSum (:22-32) per thread and two BlockReduce.Sum (block.sum); the FAST arm of colNorm and mean at EVERY shape. Thin, Thick and the numSMs dispatch (:497) NOT ported. A comptime assert keeps it out of the IDENTICAL build
ported/linalg/norm.mojo	raft cpp/include/raft/linalg/detail/norm.cuh	partial	colNormCaller<L2Norm, rowMajor=false> (sq_op, add_op, identity fin_op): a sum of squares, no sqrt. IDENTICAL = one gemm.fp32.v1 cell per column (the column against itself); FAST = the Medium kernel
ported/stats/mean.mojo	raft cpp/include/raft/stats/detail/mean.cuh, mean_center.cuh	partial	mean<rowMajor=false> = coalescedReduction sum times ratio = 1/N (a host float, a multiply); meanCenter/meanAdd<false, true> = matrixVectorOp sub/add along columns, one thread per cell. IDENTICAL = the profile dot against ones then ftz(sum * ratio) on device
ported/linalg/axpy.mojo	raft cpp/include/raft/linalg/detail/axpy.cuh	partial	axpy<T, DevicePointerMode=true>: cuBLAS (CLOSED), MAX has no axpy; mirror = one thread per row reading alpha from device memory as their pointer mode does. incx = incy = 1 only
mojo_only/profile_dot.mojo	none	mojo-only	DEVIATION 610: every n_rows reduction under IDENTICAL is the mojolearn.identical.gemm.fp32.v1 OP_NT cell at 1 x 1 x n_rows, CALLED through gemm/mojo_only/gemm_identical.mojo::identical_gemm_with_plan; host side through gemm_oracle_cell. No fold is spelled here
mojo_only/cd_oracle.mojo	none	mojo-only	the host oracle (device arithmetic, serial), the whole-row serial variant, the Float64 reference, the hashed fixtures, the NO_FTZ_RESID sabotage switch
mojo_only/record_canon.mojo	none	mojo-only	DEVIATION 612: every float stage of the card is hashed through a NaN-canonicalized COPY (0x7FC00000, IDENTITY_PATHS row 39 FACT 2); the NO_NAN_CANON sabotage switch
mojo_only/cd_check.mojo	none	mojo-only	DEVIATION 610's gates, the row 39 signed-zero and NaN-payload gates; seven sabotages recorded in its header and in README.md
cd_main.mojo	none	mojo-only	the driver and the identity card (cd.* stages)
