# their_thing	status	why / where it would go
cusolverDnpotrf / cusolverDnpotrs (cuvs cpp/src/neighbors/scann/detail/scann_avq.cuh:179-200; the only from-scratch Cholesky in cuML or cuVS)	NOT PORTABLE -- CLOSED LIBRARY, NO SOURCE	cuSOLVER ships no source. VENDOR_LIBS.md's surviving exception says call the platform equivalent because there is nothing to port, and MAX ships no potrf, so cholesky/checks/potrf.mojo is written with every numeric decision named instead. It is NOT a transliteration and its header says so rather than citing line numbers it cannot have
cublastrsm (raft cholesky_r1_update.cuh:77; cuml lars_impl.cuh:349 and :369) and cublasdot, cublasCopy, cublasgemv	NOT PORTABLE -- CLOSED LIBRARY	same. cholesky/checks/trsm.mojo and the r1 file's own kernels stand in, pinned; DEVIATIONS 1631 and 1632
raft::linalg::choleskyRank1Update, the UPPER arm (uplo == CUBLAS_FILL_MODE_UPPER, detail/:60-90)	NOT PORTED	it stores A_new as a COLUMN and solves U^T x = A_12 with CUBLAS_OP_T. It is the arm LARS actually uses (lars_impl.cuh:271). Nothing in this tree stores an upper factor, so porting it would create a second storage convention with no caller -- PORTING_RULES rule 3's other failure mode. The LOWER arm is ported in full
raft cholesky_r1_update.cuh's math_t = double instantiation	NOT PORTED	no float64 on the Apple device column; DEVIATION 1635. The host entry takes float32
raft matrix/detail/matrix.cuh: slice, columnWiseSort, gather, gather_inplace, scatter_inplace, linewise_op, getL2Norm, print, sample_rows, select_k	NOT PORTED	none of them is reachable from a Cholesky; each belongs to whichever lane needs it. Listed so the partial mirror of that header is visible rather than looking complete
raft matrix/detail/matrix.cuh::matrixDiagonalInverse / getDiagonalInverseMatrix	PORTED, DELIBERATELY UNCALLED ON ANY IDENTITY PATH	DEVIATION 1645. A reciprocal-then-multiply is two roundings where identical_div is one; CHOL_SAB_TRSM_RECIPROCAL is the arm that shows the difference. Ported anyway because an unported file is visible and a mis-ported one is not
cuml ML::Solver::Lars (cpp/src/solver/lars_impl.cuh), the CALLER of choleskyRank1Update	NOT PORTED, NOT THIS LANE	LARS is a solver section, not a Cholesky one. It is named here because the brief that opened this lane said cuML's SVM uses the rank-one update and the checkout says otherwise: grep -rn cholesky cuml/cpp/src/svm/ at 265b9da returns nothing, and cuML's SVM solver is SMO. PORTING_RULES rule 1 -- the file wins, and the false sentence is deleted rather than annotated
cuml cpp/tests/sg/lars_test.cu:110-190 (their Cholesky tests)	NOT PORTED	their test compares updateCholesky against cusolverDnpotrf at a tolerance, which is the right test for a library shipping one backend and says nothing this lane needs. cholesky/checks/cholesky_check.mojo's check_r1_update_equals_potrf is the same comparison made BITWISE and between two of our own device spellings
a BLOCKED trsm (the shape cublastrsm actually uses)	NOT WRITTEN	cholesky/checks/trsm.mojo is one thread per right-hand-side column with no reuse of L. A blocked trsm turns the solve into GEMM work; it is a speed idea, it would introduce a second fold to pin, and this lane has measured nothing. cholesky/README.md carries it under WHAT IS OWED
a panel factorization staged in threadgroup memory	NOT WRITTEN	same reason (DEVIATION 1641): a staging tile is a page count to pin, and a second thing to pin is a second thing to get wrong
cublasSsyrk (the symmetric rank-k update a real blocked Cholesky uses for its trailing update)	NOT PORTED -- CLOSED, AND THE SHAPE IS NOT IN THE GEMM PROFILE	DEVIATION 1636 computes the full n_trail x n_trail product with identical_gemm_into at OP_NT and subtracts only the lower triangle, doing twice the FLOPs. A triangular output shape would need a new arm of mojolearn.identical.gemm.fp32.v1 or a hand-written contraction here, and both are worse than twice the FLOPs in a lane with no published number
