# theirs	status	why / where it would go
# cuML pinned at 265b9da6 (v26.08.00). One line per thing that exists in their holtwinters and does not exist here. Read with PORTED_MAP.tsv.
cpp/src/holtwinters/holtwinters.cu double overloads of buffer_size/fit/forecast; every Dtype=double instantiation of runner.cuh and internal/*.cuh	NOT PORTED, refused by dtype	Metal has no Float64 (the repo's standing hardware limit, DEVIATION 670 in arima/). The float instantiation is the one ported. This is the single largest omission and it is a hardware fact, not a choice
hw_optim.cuh parabolic_interpolation_golden_optim (:51-188) and its helpers golden_step (:16-23), fix_step (:26-33), calculate_step (:36-49); the GOLD and PG_EPS constants they use	NOT PORTED, refused by name	the single_param arm, taken only when exactly ONE of optim_alpha/beta/gamma is true. ML::HoltWinters::fit sets all three true (runner.cuh:322), so it is unreachable from the public surface. holtwinters_optim_gpu raises naming it rather than silently computing the BFGS answer. GOLD and PG_EPS are kept in hw_utils.mojo for the record only. Porting it would need its own gate: it is a golden-section search whose tie-breaks (fix_step's "steps are too close", the abs(step) > abs(pstep/2) fallback) are exactly the plateau-tie class this lane is careful about
hw_eval.cuh holtwinters_eval_gpu_shared_kernel (:96-156) and hw_optim.cuh holtwinters_optim_gpu_shared_kernel (:588-709)	NOT PORTED, PLACEMENT ONLY	the shared and global kernels differ in ONE thing: where each thread's pseason scratch lives and its stride (pseason + threadIdx.x with stride blockDim.x, vs pseason + tid with stride batch_size). No arithmetic differs, no term order differs, and the scratch contents are a pure function of the series. The global arm is ported and the launch-invariance gate varies the block width over it, which is the property the shared arm would otherwise be needed to prove
hw_eval.cuh :277 and hw_optim.cuh :859 the sm_needed > raft::getSharedMemPerBlock() dispatch	NOT PORTED, SCHEDULING	it chooses between the two kernels above by a HARDWARE QUANTITY (shared memory per block), which is exactly the kind of machine-dependent branch this lane exists to remove from the answer. Ours always takes the global arm, so the kernel chosen is not a function of the GPU
hw_forecast.cuh holtwinters_nonseasonal_forecast_kernel (:34-42) and holtwinters_level_forecast_kernel (:47-58)	NOT PORTED, unreachable	holtwinters_forecast_gpu picks them when trend_coef or season_coef is null; ML::HoltWinters::forecast (holtwinters.cu:91-104) always passes all three, and HoltWintersForecastHelper always computes all three offsets. Would be needed only for a single- or double-exponential-smoothing surface, which cuML does not expose either (see cuml#889)
runner.cuh HoltWintersDecompose's level-only arm (raft::copy) and trend-only arm (raft::copy + cublasaxpy), :99-140	NOT PORTED, unreachable	the same reason: the fit helper always passes start_level, start_trend AND start_season, so only the stl_decomposition_gpu arm runs. Their trend arm is also where cuml#889's double-exponential bug lives
runner.cuh HoltWintersOptim's optim_params override block (:236-253)	NOT PORTED, unreachable	nine `if (optim_params->x > 0) use it` lines guarded by `if (optim_params)`. HoltWintersFitHelper passes (OptimParams<Dtype>*)nullptr (:406), so the block never executes and the defaults at :226-234 are always the values used. default_optim_params returns exactly those. A caller-supplied OptimParams surface would reinstate it
hw_decompose.cuh batched_ls's cuSOLVER geqrf/orgqr, its two bufferSize queries, cuBLAS gemm, and RinvKernel (:114-127)	REPLACED, DEVIATION 660	R^-1 Q^T IS pinv([1, t]) and is a function of trend_len ALONE, not of any series. Their route to it runs through two CLOSED libraries whose float32 output is neither readable nor bit-reproducible across GPU models. Ours writes the same matrix on the host in float64 from the closed form and casts. Their DATA-TOUCHING kernel is ported unchanged. Priced: our R1Qt is not expected to be their bits in the last places, and this is one of the two spots the lane is not cuML's numbers
hw_decompose.cuh cublasgeam (:293-306) and raft::linalg::eltwiseDivide + the aligned_ts copy (:308-311)	REPLACED, one elementwise kernel	geam with OP_N/OP_N and lda=ldb=ldc=trend_len over a contiguous trend_len*batch_size block is cell k against cell k; eltwiseDivide already is. Both become season_residual_kernel, one thread per cell. No fold, no arithmetic change. Their aligned_ts copy exists only to give eltwiseDivide a base pointer and is a pure copy
runner.cuh HWTranspose -> raft::linalg::transpose (a cuBLAS geam), :28-38	REPLACED, one permutation kernel	a pure permutation: no arithmetic, so one thread per cell is bit-identical to whatever the library does, and it removes a CLOSED call from the path
