# upstream_item	status	why / where it would go
cuml svm_parameter.h SvmType EPSILON_SVR (svmType), epsilon; smosolver.cuh SvrInit, the n_train = 2*n_rows doubling, UpdateF's second gemv, results.cuh CombineCoefs' add arm, kernelcache.cuh GetVecIndices / ws_idx_mod_svr, svr_impl.cuh	PORTED 2026-08-31, UNGATED, REFUSES	All six pieces are in: the scope check admits EPSILON_SVR (NU_SVC/NU_SVR still raise, which is upstream's own boundary), n_train doubles in SmoSolver and Results, SvrInit writes f = +-epsilon - y and the +-1 label vector, UpdateF runs a second gemv on f + n_rows, CombineCoefs folds the two alpha halves, and KernelCache carries ws_idx_mod_svr with GetVecIndices' ws_idx % n_rows. mapColumnIndicesToSVRSpace is NOT owed: it sits inside `if (batch_cache.GetSize() > 0)` and this lane takes the cache_size == 0 path, so it is dead code here rather than an omission; it comes back only with the LRU. TWO MOJO-SHAPED DEPARTURES, both deliberate: upstream's `Initialize(math_t** y)` repoints the CALLER's pointer at y_label, which Mojo cannot spell, so the labels are a solver field `y_train` present in BOTH problem types; and `getKernelIndices(allow_svr)` returns one of two buffers, so both are allocated always and kept equal for C_SVC. IT STILL RAISES, and the reason is now UNGATED rather than UNPORTED: there is no regression fixture, no sabotage arm and no eps-insensitive oracle, so no run has ever checked that the six pieces agree with each other. OWED, and the last item is the one that matters: smo_oracle.mojo's SVR arm (2n init, the coef fold), a regression fixture in svc_check.mojo with the existing sabotages re-fired against it, a decision and a sabotage for fold_order_for's tie rule (its docstring asserts working-set indices are distinct, which is FALSE under SVR once ws_idx % n_rows collides), a redone signed-zero analysis (f = +-epsilon - y puts +0.0 and -0.0 in one vector from ORDINARY input, where C_SVC needed a planted fixture), and an INDEPENDENT oracle. Without the last one the gate only proves two co-derived transcriptions agree, and a shared misreading of SvrInit's signs would pass: the two property gates this lane has, the KKT gap and the monotone dual objective, are both classification-shaped. tools/knn_sklearn_oracle.py is the precedent.
cuml svm_parameter.h NU_SVC, NU_SVR	NOT PORTED, unported upstream too (`THROW("SMO initialization not implemented SvmType=%d")`)	raised by name with the same sentence
cuml svm_parameter.h cache_size > 0; kernelcache.cuh BatchCache; raft/util/cache.cuh Cache (32-way set-associative LRU: get_cache_idx, assign_cache_idx + rank_set_entries (cub::BlockRadixSort over time stamps), get_vecs, store_vecs), PreparePartitionedIdxOrder, GetCacheIdxPartitionedStable, AssignAndStoreVecs	NOT PORTED; the cache_size == 0 path IS (n_cache_sets = 0, every `if (batch_cache.GetSize() > 0)` skipped)	cache_size != 0 raises by name. DETERMINISM STATEMENT (README "the cache decision"): eviction and the working-set permutation are pure functions of the ws sequence, cache_size and n_rows (counters, `key % n_cache_sets`, stable sorts; no block count, no clock); under DEVIATIONS 633-634 neither can reach a bit, so the port is bit-inert when it lands. It goes in kernelcache.mojo beside init_working_set / init_full_tile_batching / get_next_batch_kernel, with a gate asserting cache_size 0 vs 200 give the same bytes. Predict's `buffer_size` (their `param.cache_size` at the SVC::predict call site) is a separate, honored parameter here
cuml svm_parameter.h verbosity; CUML_LOG_DEBUG/ERROR lines in smosolver, workingset	ACCEPTED, NO EFFECT	it selects log lines; none are printed. The counters behind the "not converging monotonically" message (n_increased_diff, report_increased_diff) are transcribed
cuml svm_parameter.h max_outer_iter, max_iter, nochange_steps, tol, C	PORTED	max_outer_iter = -1 -> max(100000, 100*n_train); max_iter caps the inner total through max_iter_this_block; nochange_steps's n_small_diff rule and the NaN throw transcribed (smosolver.mojo::check_stopping_condition)
cuml kernel_params.hpp KernelType POLYNOMIAL (degree, gain, offset); cuvs PolynomialKernel::applyKernel `pow(gain * x + offset, exponent)`	NOT PORTED	raised by name. One `identical_pow` away (mojo_only/numerics.mojo has it): `out = ftz(identical_pow(ftz(fma(gain, dot, offset)), Float32(degree)))` beside rbf_kernel_expanded_kernel; left unported rather than written without a gate
cuml kernel_params.hpp KernelType TANH (gain, offset); cuvs TanhKernel `tanh(gain * x + offset)`	NOT PORTED	raised by name; there is no identical_tanh in numerics.mojo (hand-off item if wanted)
cuml kernel_params.hpp KernelType PRECOMPUTED; kernelcache.cuh extractColumnsForPrecomputed; svc_impl.cuh precomputed predict arm	NOT PORTED	raised by name
cuvs RBFKernel: `-1.0 * gain * (...)` double promotion for math_t = float	NOT MIRRORED, DEVIATION 630	no float64 on the Apple GPU; float32 through identical_exp. Measured in svc_check (check_rbf_float_vs_double_reference): 57,600 cells of F2, max 1 ulp from their double-exp spelling rounded to float
raft linalg rowNorm<L2Norm> (block fold) for matrixRowNormL2	MIRRORED BY A PER-ROW SERIAL CHAIN	row_norm_l2sq_kernel, one thread per row, ascending; no fold shape to pin
