# their_thing	status	why / where it would go
# cuVS pinned at 6ba2ce2 (~/CascadeProjects/upstream/cuvs-v26.08.00).
cpp/include/cuvs/neighbors/hnsw.hpp and cpp/src/neighbors/hnsw.cpp	REFUSED PERMANENTLY	It dispatches to the hnswlib CPU graph. PORTING_RULES.md 0b-ii: there is no CPU path in this repository and none is wanted. ivf_flat_index.mojo::ivf_refuse_algorithm("hnsw") raises with that sentence. THIS IS A REFUSAL, NOT AN UNPORTED ITEM, and it does not become one later
cpp/src/neighbors/ivf_pq/ (the whole directory) + ivf_pq.hpp	NOT PORTED, out of scope	Product quantization: a codebook per subspace, a per-query lookup table, and a scan that reads codes rather than vectors. A different algorithm from IVF-FLAT, not a variation of it. This lane's brief is IVF-FLAT ONLY
cpp/src/neighbors/cagra.cuh + cagra*.cu	NOT PORTED, out of scope	A graph index (build, optimize, merge, search). Nothing in it is shared with ivf_flat except the select_k this tree already has
cpp/src/neighbors/ivf_sq/ + ivf_sq.hpp	NOT PORTED, out of scope	Scalar quantization over an IVF index
cpp/src/neighbors/ivf_rabitq/ + ivf_rabitq.hpp	NOT PORTED, out of scope	RaBitQ binary quantization over an IVF index
cpp/src/neighbors/scann/, vamana, nn_descent, all_neighbors, tiered_index, dynamic_batching, composite, mg/, iface/	NOT PORTED, out of scope	Each refused by name from ivf_refuse_algorithm where it has an entry; the rest are absent
cuvs::cluster::kmeans_balanced (the quantizer ivf_flat_build.cuh:432-436 actually calls)	NOT PORTED ANYWHERE IN THIS TREE, DEVIATION 1780	cluster/ mirrors cuvs::cluster::kmeans (Lloyd + k-means++), which is a DIFFERENT quantizer: kmeans_balanced is hierarchical with a mesocluster recursion and balances list SIZES. Consequences carried in ivf/README.md: our list sizes are not balanced, and the coarse centroids' identity status is cluster/'s (UNSUPERVISED_IDENTITY.md), not this lane's. Porting it is a cluster/ lane's work, not this one's
ivfflat_interleaved_scan (ivf_flat_interleaved_scan_jit.cuh, _ext.cuh, _explicit_inst.cuh, the .cu.in instantiations and the JIT LTO kernels)	REFUSED UNDER IDENTICAL, REPLACED, DEVIATION 1785	Three separate identity walls at once. (1) Its local top-k is raft warpsort over kSubwarpSize = min(Capacity, WarpSize) lanes (:189-192): a bitonic network whose width is the hardware lane count, IDENTITY_PATHS row 23's refusal verbatim, and its comparator resolves an equidistant tie by feed order. (2) grid_dim_x is read back from an occupancy probe launch (:191-215) and then decides which candidates are compared against which: rows 3 and 7's class. (3) It reads the interleaved-group layout with a veclen this port does not build. Replaced by the tiled k-NN arm's pinned distance tile plus the composite-key selector
raft::matrix::detail::select::warpsort (the whole selector family cuvs::selection::select_k dispatches to for 2 < k <= 256)	NOT PORTED, and NOT WANTED ON THIS PATH	neighbors/derived/matrix/detail/select_warpsort.mojo exists for the k-NN lane; this lane's selections go through select_radix / select_radix_identical because DEVIATIONS 500/501 gave that one a named tie set and warpsort has none. UNSUPERVISED_IDENTITY.md's owed item 4 is the standing statement about the warpsort tie class
ivf_flat::extend (ivf_flat_build.cuh:180-345 as a public entry) and clone	NOT PORTED	Adding vectors to a built index. Needs resize_list, recompute_internal_state and the old/new list size bookkeeping, all of which are their per-list allocation's (DEVIATION 1782), and adaptive_centers makes the centroids depend on insertion order (their own ivf_flat.hpp:41-46). add_data_on_build=False raises for this reason
adaptive_centers = true (ivf_flat.hpp:36-47) and kmeans_balanced::helpers::calc_centers_and_sizes	NOT PORTED, REFUSED BY NAME	Their header says the centroids "drift together with the changing distribution of the newly added data" and depend on the ORDER data was added in. An order dependence inside the index itself
conservative_memory_allocation (ivf_flat.hpp:49-57, list_spec::align_max)	NOT PORTED, REFUSED BY NAME, DEVIATION 1782	It picks the alignment of their per-list allocation. This port lays the lists out CSR and has no per-list allocation to align
kmeans_trainset_fraction != 1.0 (ivf_flat_build.cuh:414-418)	REFUSED BY NAME, DEVIATION 1781	n_rows / max(1, n_rows / max(fraction * n_rows, n_lists)) is a truncated float product, IDENTITY_PATHS row 18's class: near an integer boundary two hosts train the quantizer on DIFFERENT ROWS and the whole index differs. Their own next comment is "TODO: a proper sampling". Closure: exact integer arithmetic, the way row 18 closed compute_max_features
CosineExpanded (ivf_flat_search.cuh:130-141 and its map_offset epilogue at :164-177)	REFUSED BY NAME	A per-cell divide by the product of the query and centre norms, plus a norm taken with sqrt_op. It is a different arm of their switch, not a flag on this one
the inner-product default arm (ivf_flat_search.cuh:142-145, alpha=1 beta=0, select_max)	REFUSED BY NAME	select_min is false there, so the selector's twiddle and the whole tie argument change sign. A port of it needs its own gates
the sample filter (none_sample_filter / bitset_filter, sample_filter.cuh, and the filtering arms of search_with_filtering)	NOT PORTED	A predicate evaluated inside their scan, which this port does not run. It would become a mask on the candidate row and is a numeric decision (it changes the summation set), so it needs a DEVIATION and a gate of its own
find_chunk_ix + postprocess_neighbors_kernel's binary search (ivf_common.cuh:94-109, :113-145)	NOT PORTED, DEVIATION 1790	They exist to turn a PROBE-CONCATENATED sample index back into a database id. This port's candidate row is the ascending-original-index merge and carries cand_orig explicitly, so the mapping is one array read
kOutOfBoundsRecord short fill (ivf_common.cuh:31, :106-108)	NOT PORTED, REFUSED INSTEAD, DEVIATION 1794	They fill short slots with a sentinel a caller must know to test for, and the ported radix selector cannot take k > len at all. The same hole knn_brute_force.mojo refuses k > n_index for
