# their_thing	status	why / where it would go
pre-tokenizer patterns other than the GPT-2 format's	PARTLY IMPLEMENTED (Python side)	the MACHINERY is vocabulary-agnostic -- `impl/ranks.mojo` loads any rank table and `impl/bpe.mojo` is the same merge loop -- but other byte-level BPE formats use a DIFFERENT pre-tokenizer pattern, and `impl/pretokenize.mojo` is one pattern hand-rolled, not a regex engine. Each would be a new function beside `pretoken_end` with its own cases AMENDED 2026-09-17 (lane/model-loader, DEVIATION 2960): python/mojolearn/models/tokenizer.py carries the Llama 3 and Qwen 2 pre-tokenization patterns, cut in Python over the byte codes and merged by the package's Python BPE; this Mojo binding still cuts with the GPT-2 pattern only, so those families do not reach the compiled path yet.
a bundled vocabulary	NOT SHIPPED, ON PURPOSE (2026-09-15)	mojolearn ships no vocabulary. `GPT2Tokenizer.from_files(encoder_json, vocab_bpe)` loads the GPT-2 format's two files the user supplies, `from_ranks_file` a rank<TAB>hex file and `from_token_bytes` a list; `GPT2Tokenizer()` refuses by name. The gates use a synthetic vocabulary mojolearn trains itself (`python/mojolearn/_tokenizer_synthetic.py`)
`allowed_special` / `disallowed_special` sets	PARTIALLY IMPLEMENTED, one flag	`encoding.mojo::encode_bytes` takes `allow_endoftext: Bool`, the one special token of the format (`<|endoftext|>`, the id after the last rank). RAISING when a disallowed special token appears in the text is not implemented: it encodes as ordinary text
completion-time surfaces (encode with unstable tokens, single-token encode and decode, token byte listing)	NOT IMPLEMENTED	encoding with unstable tokens needs a sorted-token-prefix search over the whole vocabulary and has no cases here. Decoding one token's bytes is `RankTable.token_bytes(id)` and could be exposed the day something calls it
chat templates (any role framing with special tokens)	NOT IMPLEMENTED, AND NOT THIS MODULE'S JOB	a template is a STRING BUILT BEFORE encoding plus a special-token vocabulary. The format has one special token and no chat format; a template belongs in whatever builds the prompt
Unicode normalization (NFC, NFD, NFKC, NFKD)	NOT IMPLEMENTED, AND CORRECT BY ABSENCE	the format tokenizes the bytes it is given. The `combining_mark` case shows why this is a decision rather than an omission: "e" + U+0301 and precomposed U+00E9 are DIFFERENT id sequences. A caller that wants NFC must normalize before calling
added / user-defined tokens	REFUSED BY RANGE	`decode_bytes` refuses an id outside [0, n_vocab) BY NAME and position rather than emitting a replacement character. There is no add_special_tokens path: a new special token changes `encode`'s splitting
invalid UTF-8 in the input to `encode_bytes`	DEFINED	`impl/unicode_class.mojo::decode_codepoint` answers `(-1, 1)` for a byte that does not begin a well-formed sequence (overlongs, surrogates and above U+10FFFF included) and `pretoken_end` makes such a byte its own one-byte pre-token, which always encodes (all 256 single bytes are tokens) and always round trips; `test_tokenizer_surface.py::test_invalid_utf8_round_trips` holds it
`$` as "also before a final newline"	NOT IMPLEMENTED ON PURPOSE	`\s++$` is implemented as END OF HAYSTACK. No case separates the two readings (a trailing newline is whitespace under both), so this is a reasoned choice and not a measured one
incremental merge-rank bookkeeping	NOT IMPLEMENTED, SPEED ONLY	ours rescans for the minimum-rank pair each merge: O(pieces^2) rank probes per pre-token, tens of probes on a word. A linked list with cached ranks is the same output by construction and this lane makes no speed claim; `bpe.mojo`'s header says so
a Python surface (`python/mojolearn/`) and a `bindings/` entry point	IMPLEMENTED 2026-09-14	`python/mojolearn/tokenizer.py::GPT2Tokenizer` over `bindings/_mojolearn_tokenizer_host.mojo` (a host binding, the family's only one; ids cross the boundary as int32 at an address the caller sizes, bytes as uint8). The Unicode classes are compiled into the binding; the vocabulary is the user's
