# upstream_file_or_symbol	status	upstream	notes
# Files and symbols this section deliberately does NOT port, and why.
# A file absent from both this list and DERIVATION_MAP.tsv has simply not been
# looked at, which is a different and worse state. Keep both complete.
#
# STATUS VOCABULARY, written down 2026-08-31. This column answers a DIFFERENT question from the one
# in DERIVATION_MAP.tsv: that one asks how a file we have was derived, this one asks why a thing
# upstream is not here. The two vocabularies are not interchangeable and neither belongs in the
# other file.
#   deliberate    refused on purpose, permanently or until the reason in the notes stops holding.
#                 Not a gap in effort. Where a caller could ask for it, it is REFUSED BY NAME at the
#                 API boundary rather than accepted and ignored.
#   not yet       intended, not written. A real debt.
#   IMPLEMENTED   the row is CLOSED: the thing now exists and DERIVATION_MAP.tsv carries it. The row
#                 is kept so the history is one line away rather than deleted out of the record.
#                 THIS STATUS WAS SPELLED `PORTED` UNTIL 2026-08-31 and was renamed with the rest of
#                 the tree: `ported` is retired everywhere here, because it could not distinguish a
#                 transliteration from a reimplementation and readers were using it for both. The
#                 rename is to the word that says what this column actually means -- the row is
#                 closed -- and it carries no claim about HOW the thing was derived. That claim now
#                 lives in DERIVATION_MAP.tsv, in one of `transliterated` / `reimplemented` /
#                 `partial` / `no-upstream`, defined at the top of that file.
# The `upstream` column is the project, matching DERIVATION_MAP.tsv's third column. Paths are
# relative to each upstream repository root; the pins are in DERIVATION_MAP.tsv's header.
cpp/src/decisiontree/batched-levelalgo/quantiles.cuh	deliberate	cuML	THE FILE THIS FORMULATION EXISTS TO DELETE. Geurts draws a real-valued threshold inside the node's own [min,max]; there is no global quantile set and no bin index anywhere in this directory. Porting it would make this the histogram algorithm, which is the OTHER product (ensemble/ Step 2).
cpp/src/decisiontree/batched-levelalgo/quantiles.h	deliberate	cuML	header for the above
sklearn/tree/_partitioner.pyx::SparsePartitioner	deliberate	sklearn	CSC input. cuML's builder is dense-only too; sparse is unsupported in LightGBM's CUDA learner as well (#6725). No sparse path is planned here.
sklearn/tree/_criterion.pyx::MAE	deliberate	sklearn	absolute-error criterion needs an order statistic per candidate, not an accumulator; it is a different kernel shape and is out of scope for the first port.
sklearn/tree/_splitter.pyx::node_split_best	deliberate	sklearn	the exhaustive splitter. That is RandomForest, which is the ensemble/ lane's port of cuML, not this one.
sklearn/tree/_criterion.pyx::sample_weight	deliberate	sklearn	Weighted samples. Every criterion in _criterion.pyx threads `sample_weight` and `weighted_n_*`; this port assumes the default `sample_weight=None`, which is what makes classification class counts INTEGERS and therefore what DEVIATION 144's exact-rational split comparison stands on. Wiring weights would put that path back on floats and 144 would have to be re-argued, not just extended.
sklearn/tree/_splitter.pyx::missing_go_to_left	deliberate	sklearn	NaN handling. Refused by name at the API boundary; see DEVIATION 136 and 150. The `n_missing == 0` conjunct of the constant test has no fixture coverage as a direct consequence, which is stated in 150 rather than hidden.
cpp/src/decisiontree/batched-levelalgo/objectives.cuh::Entropy	IMPLEMENTED	cuML	Entropy criterion (:110-193). Was "not yet" and refused by name until DEVIATION 459 (2026-08-23): now `objectives.mojo::EntropyObjectiveFunction`, a float-gain key published through the exact-pair reduction; sklearn's `criterion='entropy'` and its alias `'log_loss'` run on both arms. Row kept so the history is one line away; DERIVATION_MAP.tsv carries the mapping. (This row's status read `PORTED` until 2026-08-31; renamed `IMPLEMENTED` with the rest of the tree, same meaning -- see this file's header.)
cpp/src/decisiontree/batched-levelalgo/objectives.cuh::Poisson	not yet	cuML	Poisson criterion (:267-346), with kernels/poisson-{float,double}.cu. Refused by name.
cpp/src/decisiontree/batched-levelalgo/objectives.cuh::Gamma	not yet	cuML	Gamma criterion (:348-424). Refused by name.
